country_name,country_code,totpop
Algeria,DZA,30774621
Argentina,ARG,37070774
Brazil,BRA,175873720
China,CHN,1262645000
Czech Republic,CZE,10255063
Ecuador,ECU,12626507
"Egypt, Arab Rep.",EGY,71371371
Ethiopia,ETH,67031867
Finland,FIN,5176209
Honduras,HND,6656725
Indonesia,IDN,214072421
Israel,ISR,6289000
Japan,JPN,126843000
Liberia,LBR,2895224
Madagascar,MDG,16216431
New Zealand,NZL,3857700
Pakistan,PAK,154369924
Spain,ESP,40567864
Switzerland,CHE,7184250
Syrian Arab Republic,SYR,16307654
Thailand,THA,63066603
United Kingdom,GBR,58892514
United States,USA,282162411
Serbia and Montenegro,SCG,8121296